WBAN,TIME_VALID,DT_OBS,TDIFF,T2_o,Td_o,Tw_o,RH_o,SH_o,WD_o,WS_o,WG_o,PSFC_o,VIS_o,WX_o
72030464752,2006021106,2006-02-11T06:01:00,1,-1,-4,-2.63,80.01,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021107,2006-02-11T07:00:00,0,-2,-5,-3.6,79.86,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021108,2006-02-11T08:01:00,1,-1,-6,-3.36,68.74,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021109,2006-02-11T09:01:00,1,-1,-5,-3.02,74.18,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021110,2006-02-11T10:00:00,0,-1,-4,-2.63,80.01,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021111,2006-02-11T11:00:00,0,-1,-4,-2.63,80.01,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021112,2006-02-11T11:58:00,2,-1,-4,-2.63,80.01,0.002804929,nan,nan,nan,100760,16093,Fair_wx
72030464752,2006021113,2006-02-11T13:01:00,1,-1,-3,-2.19,86.24,nan,nan,nan,nan,nan,16093,Not_Parsed
72030464752,2006021114,2006-02-11T14:18:00,18,0,-7,-3.01,59.16,nan,50,1.5,nan,nan,16093,Not_Parsed
72030464752,2006021115,2006-02-11T15:00:00,0,1,-7,-2.36,55.03,0.002232169,50,1.5,nan,100720,16093,Fair_wx
72030464752,2006021116,2006-02-11T16:00:00,0,2,-6,-1.46,55.31,nan,70,4.1,nan,nan,16093,Not_Parsed
72030464752,2006021117,2006-02-11T17:00:00,0,2,-6,-1.46,55.31,nan,70,3.6,nan,nan,16093,Not_Parsed
72030464752,2006021118,2006-02-11T17:59:00,1,2,-6,-1.46,55.31,0.002415457,70,3.6,nan,100520,16093,Fair_wx
72030464752,2006021119,2006-02-11T19:00:00,0,1,-4,-1.48,69.17,nan,70,5.7,nan,nan,8046,Not_Parsed
72030464752,2006021120,2006-02-11T20:00:00,0,1,0,0.3,93.01,nan,70,3.1,nan,nan,4023,Not_Parsed
72030464752,2006021121,2006-02-11T21:00:00,0,0,0,-0.13,100,0.003789056,60,2.6,nan,100290,1207,Fair_wx
72030464752,2006021122,2006-02-11T22:00:00,0,0,-1,-0.7,92.95,nan,50,3.1,nan,nan,805,Not_Parsed
72030464752,2006021123,2006-02-11T23:00:00,0,0,-1,-0.7,92.95,nan,50,3.1,nan,nan,2011,Not_Parsed
72030464752,2006021200,2006-02-12T00:00:00,0,0,-1,-0.7,92.95,nan,50,2.6,nan,nan,2011,Not_Parsed
72030464752,2006021201,2006-02-12T01:00:00,0,0,-1,-0.7,92.95,0.003534024,50,3.6,nan,99950,2012,Fair_wx
72030464752,2006021202,2006-02-12T02:00:00,0,0,-1,-0.7,92.95,nan,40,3.1,nan,nan,2011,Not_Parsed
72030464752,2006021203,2006-02-12T03:00:00,0,0,-1,-0.7,92.95,nan,50,3.6,7.7,nan,1609,Not_Parsed
72030464752,2006021204,2006-02-12T04:01:00,1,0,-1,-0.7,92.95,nan,50,4.1,nan,nan,1609,Not_Parsed
72030464752,2006021205,2006-02-12T05:00:00,0,-1,-2,-1.7,92.89,nan,50,4.6,9.3,nan,1207,Not_Parsed
72030464752,2006021206,2006-02-12T06:00:00,0,-1,-2,-1.7,92.89,nan,40,4.1,nan,nan,1207,Not_Parsed
72030464752,2006021207,2006-02-12T07:00:00,0,-2,-3,-2.69,92.84,0.00307144,nan,nan,8.8,99180,805,Fair_wx
72030464752,2006021208,2006-02-12T08:00:00,0,-3,-5,-4.16,86.02,nan,30,10.3,14.4,nan,805,Not_Parsed
72030464752,2006021209,2006-02-12T09:00:00,0,-3,-5,-4.16,86.02,0.002646631,40,7.7,10.3,99010,1207,Fair_wx
72030464752,2006021210,2006-02-12T10:00:00,0,-4,-5,-4.68,92.72,nan,40,6.2,10.3,nan,805,Not_Parsed
72030464752,2006021211,2006-02-12T11:00:00,0,-4,-6,-5.14,85.91,0.002454027,30,3.6,nan,98940,805,Fair_wx
72030464752,2006021212,2006-02-12T12:00:00,0,nan,nan,nan,nan,nan,360,3.7,nan,nan,nan,Not_Parsed
72030464752,2006021213,2006-02-12T13:00:00,0,nan,nan,nan,nan,nan,350,4.7,nan,nan,nan,Not_Parsed
72030464752,2006021214,2006-02-12T14:00:00,0,nan,nan,nan,nan,nan,330,3.7,7.3,nan,nan,Not_Parsed
72030464752,2006021215,2006-02-12T15:00:00,0,-5,-6,-5.68,92.66,0.00245056,320,4.1,nan,99080,nan,Fair_wx
